"","species","sex","year","mean_mass_g"
"1","Adelie","female",2007,3389.77272727273
"2","Adelie","female",2008,3386
"3","Adelie","female",2009,3334.61538461538
"4","Adelie","male",2007,4038.63636363636
"5","Adelie","male",2008,4098
"6","Adelie","male",2009,3995.19230769231
"7","Chinstrap","female",2007,3569.23076923077
"8","Chinstrap","female",2008,3472.22222222222
"9","Chinstrap","female",2009,3522.91666666667
"10","Chinstrap","male",2007,3819.23076923077
"11","Chinstrap","male",2008,4127.77777777778
"12","Chinstrap","male",2009,3927.08333333333
"13","Gentoo","female",2007,4618.75
"14","Gentoo","female",2008,4627.27272727273
"15","Gentoo","female",2009,4786.25
"16","Gentoo","male",2007,5552.94117647059
"17","Gentoo","male",2008,5410.86956521739
"18","Gentoo","male",2009,5510.71428571429
